City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Zhigansk,RU,66.77,123.37,-2.63,90,100,21.88,overcast clouds
211,Denpasar,ID,-8.65,115.22,80.6,83,40,3.36,scattered clouds
212,Thompson,CA,55.74,-97.86,1.4,84,75,13.87,broken clouds
213,Shenjiamen,CN,29.96,122.3,57.76,89,64,5.88,broken clouds
214,Atar,MR,20.52,-13.05,76.42,27,100,4.88,overcast clouds
215,Tiksi,RU,71.69,128.87,3.61,94,100,2.44,light snow
216,Greenwood,US,34.17,-82.12,59.0,50,75,11.41,broken clouds
217,Koping,SE,59.51,15.99,39.99,86,100,8.05,overcast clouds
218,Matara,LK,5.95,80.54,75.47,88,59,1.52,moderate rain
219,Mabaruma,GY,8.2,-59.78,80.1,78,91,4.07,overcast clouds
220,Qaqortoq,GL,60.72,-46.03,32.0,98,75,1.12,light snow
221,Gairatganj,IN,23.42,78.24,47.68,53,0,6.62,clear sky
222,Katsuura,JP,35.13,140.3,42.8,75,0,2.24,clear sky
223,Saint-Joseph,RE,-21.37,55.62,78.8,69,75,18.34,broken clouds
224,Portland,US,45.52,-122.68,46.99,72,0,1.99,clear sky
225,Chkalovsk,RU,56.76,43.24,10.4,85,90,2.24,light snow
226,San Fernando,PH,15.03,120.69,77.0,88,75,2.24,broken clouds
227,Anori,BR,-3.77,-61.64,81.3,91,100,1.86,overcast clouds
228,Prado,BR,-17.34,-39.22,77.4,78,0,8.66,clear sky
229,Harer,ET,9.31,42.13,57.33,73,0,3.18,clear sky
230,Auki,SB,-8.77,160.7,80.83,81,93,4.16,light rain
231,Olinda,BR,-8.01,-34.86,82.4,61,40,19.46,scattered clouds
232,Xiaoweizhai,CN,26.19,107.51,49.06,92,100,4.14,overcast clouds
233,Harper,LR,4.38,-7.72,79.18,84,0,7.58,clear sky
234,Verkhoyansk,RU,67.54,133.38,-11.16,88,98,2.13,overcast clouds
235,Waddan,LY,29.16,16.14,53.17,44,0,6.46,clear sky
236,Cidreira,BR,-30.18,-50.21,74.16,79,53,16.31,broken clouds
237,Pangkalanbuun,ID,-2.68,111.62,73.76,94,100,2.19,overcast clouds
238,Quang Ngai,VN,15.12,108.8,66.83,89,6,5.06,clear sky
239,Aklavik,CA,68.22,-135.01,-11.2,83,75,2.24,broken clouds
240,Ulcinj,ME,41.93,19.22,59.0,76,90,25.28,overcast clouds
241,Kailua,US,21.4,-157.74,81.0,69,20,6.93,few clouds
242,Cherskiy,RU,68.75,161.3,-36.08,83,5,1.95,clear sky
243,Camacha,PT,33.08,-16.33,59.0,67,75,10.29,broken clouds
244,Vila Velha,BR,-20.33,-40.29,82.4,69,40,18.34,scattered clouds
245,La Ronge,CA,55.1,-105.28,15.8,78,70,5.82,broken clouds
246,Sola,VU,-13.88,167.55,82.51,76,43,9.01,scattered clouds
247,Kharan,PK,28.58,65.42,41.09,52,0,7.02,clear sky
248,Xining,CN,36.62,101.77,9.77,89,100,3.27,overcast clouds
249,Kemin,KG,42.78,75.69,22.19,80,32,1.81,scattered clouds
250,Bumbuna,SL,9.05,-11.73,74.37,37,24,1.25,few clouds
251,Salalah,OM,17.02,54.09,69.8,60,0,5.12,clear sky
252,Egvekinot,RU,66.32,-179.17,-2.33,87,100,23.31,overcast clouds
253,Tahoua,NE,14.89,5.27,71.02,21,0,9.48,clear sky
254,Richards Bay,ZA,-28.78,32.04,72.16,85,73,6.06,broken clouds
255,Platteville,US,42.73,-90.48,27.0,68,1,10.29,clear sky
256,Iisalmi,FI,63.56,27.19,30.2,86,90,10.29,overcast clouds
257,Noyabrsk,RU,63.2,75.45,-8.1,91,100,18.97,light snow
258,Diamantino,BR,-14.41,-56.45,83.77,75,64,1.74,moderate rain
259,Chunar,IN,25.13,82.9,57.78,52,0,1.92,clear sky
260,Saint Anthony,US,45.02,-93.22,24.8,79,90,9.17,overcast clouds
261,Were Ilu,ET,10.6,39.43,46.9,56,18,5.88,few clouds
262,San Cristobal,VE,7.77,-72.22,86.0,51,40,9.17,light rain
263,Tuktoyaktuk,CA,69.45,-133.04,-9.4,76,75,8.05,broken clouds
264,Hasaki,JP,35.73,140.83,28.4,100,20,2.24,mist
265,Souillac,MU,-20.52,57.52,77.0,83,75,3.36,broken clouds
266,Irtyshskiy,RU,58.33,68.13,-5.75,91,86,5.93,overcast clouds
267,Komsomolskiy,UZ,40.43,71.72,30.2,86,90,1.92,mist
268,Bathsheba,BB,13.22,-59.52,84.2,74,75,10.29,broken clouds
269,Upernavik,GL,72.79,-56.15,28.24,94,100,26.33,light snow
